date,home_team,away_team,home_score,away_score,tournament,city,country,neutral,home_win
2000-01-04,Egypt,Togo,2,1,Friendly,Aswan,Egypt,False,True
2000-01-07,Tunisia,Togo,7,0,Friendly,Tunis,Tunisia,False,True
2000-01-08,Trinidad and Tobago,Canada,0,0,Friendly,Port of Spain,Trinidad and Tobago,False,False
2000-01-09,Burkina Faso,Gabon,1,1,Friendly,Ouagadougou,Burkina Faso,False,False
2000-01-09,Ivory Coast,Egypt,2,0,Friendly,Abidjan,Ivory Coast,False,True
2000-01-11,Bermuda,Canada,0,2,Friendly,Hamilton,Bermuda,False,False
2000-01-11,Burkina Faso,Cameroon,2,2,Friendly,Ouagadougou,Burkina Faso,False,False
2000-01-13,Senegal,Cameroon,0,0,Friendly,Dakar,Senegal,False,False
2000-01-14,China PR,New Zealand,1,0,Friendly,Guangzhou,China PR,False,True
2000-01-16,United States,Iran,1,1,Friendly,Pasadena,United States,False,False
2000-01-18,Ghana,Tunisia,2,0,Friendly,Accra,Ghana,False,True
2000-01-18,Morocco,Trinidad and Tobago,1,0,Friendly,El Jadida,Morocco,False,True
2000-01-19,Panama,Guatemala,2,0,Friendly,Panama City,Panama,False,True
2000-01-19,Togo,Egypt,1,0,Friendly,Lomé,Togo,False,True
2000-01-20,Burkina Faso,Algeria,1,0,Friendly,Ouagadougou,Burkina Faso,False,True
2000-01-20,Malta,Qatar,2,0,Friendly,Attard,Malta,False,True
2000-01-21,New Zealand,South Korea,0,1,Friendly,Auckland,New Zealand,False,False
2000-01-22,Ghana,Cameroon,1,1,African Cup of Nations,Accra,Ghana,False,False
2000-01-23,New Zealand,South Korea,0,0,Friendly,Palmerston North,New Zealand,False,False
2000-01-23,Nigeria,Tunisia,4,2,African Cup of Nations,Lagos,Nigeria,False,True
2000-01-23,Vietnam,Guam,11,0,AFC Asian Cup qualification,Hanoi,Vietnam,False,True
2000-01-24,Qatar,Bosnia and Herzegovina,2,0,Friendly,Doha,Qatar,False,True
2000-01-26,Costa Rica,Trinidad and Tobago,2,1,Friendly,San José,Costa Rica,False,True
2000-01-26,Guatemala,Panama,1,1,Friendly,Guatemala City,Guatemala,False,False
2000-01-26,Spain,Poland,3,0,Friendly,Cartagena,Spain,False,True
2000-01-26,Uganda,Libya,3,2,Friendly,Kampala,Uganda,False,True
2000-01-26,Vietnam,Philippines,3,0,AFC Asian Cup qualification,Hanoi,Vietnam,False,True
2000-01-27,Ghana,Togo,2,0,African Cup of Nations,Accra,Ghana,False,True
2000-01-28,Nigeria,Congo,0,0,African Cup of Nations,Lagos,Nigeria,False,False
2000-01-28,United States Virgin Islands,Saint Lucia,0,9,Friendly,Saint Croix,United States Virgin Islands,False,False
2000-01-29,Chile,United States,1,2,Friendly,Coquimbo,Chile,False,False
2000-01-29,Vietnam,China PR,0,2,AFC Asian Cup qualification,Hanoi,Vietnam,False,False
2000-01-30,United States Virgin Islands,Saint Lucia,0,2,Friendly,Saint Croix,United States Virgin Islands,False,False
2000-01-31,Ghana,Ivory Coast,0,2,African Cup of Nations,Accra,Ghana,False,False
2000-01-31,Kuwait,Syria,4,0,Friendly,Kuwait City,Kuwait,False,True
